demand,hour,date
0.95,1,2080-01-01
0.89,2,2080-01-01
0.85,3,2080-01-01
0.89,4,2080-01-01
1.04,5,2080-01-01
1.36,6,2080-01-01
1.84,7,2080-01-01
2.08,8,2080-01-01
1.99,9,2080-01-01
2.04,10,2080-01-01
2.18,11,2080-01-01
2.05,12,2080-01-01
2.07,13,2080-01-01
1.9,14,2080-01-01
2.09,15,2080-01-01
2.01,16,2080-01-01
2.04,17,2080-01-01
2.17,18,2080-01-01
2.41,19,2080-01-01
2.4,20,2080-01-01
2.08,21,2080-01-01
1.59,22,2080-01-01
1.24,23,2080-01-01
1.09,24,2080-01-01
0.94,1,2080-01-02
0.91,2,2080-01-02
0.89,3,2080-01-02
0.91,4,2080-01-02
1.05,5,2080-01-02
1.34,6,2080-01-02
1.93,7,2080-01-02
2.03,8,2080-01-02
2.11,9,2080-01-02
2.25,10,2080-01-02
2.37,11,2080-01-02
2.22,12,2080-01-02
2.18,13,2080-01-02
2.09,14,2080-01-02
2.23,15,2080-01-02
2.13,16,2080-01-02
2.09,17,2080-01-02
2.19,18,2080-01-02
2.53,19,2080-01-02
2.45,20,2080-01-02
2.04,21,2080-01-02
1.57,22,2080-01-02
1.24,23,2080-01-02
1.05,24,2080-01-02
0.95,1,2080-01-03
0.91,2,2080-01-03
0.94,3,2080-01-03
0.89,4,2080-01-03
1.06,5,2080-01-03
1.4,6,2080-01-03
1.89,7,2080-01-03
2.06,8,2080-01-03
2.11,9,2080-01-03
2.23,10,2080-01-03
2.29,11,2080-01-03
2.17,12,2080-01-03
2.09,13,2080-01-03
1.97,14,2080-01-03
2.16,15,2080-01-03
2.17,16,2080-01-03
2.15,17,2080-01-03
2.25,18,2080-01-03
2.58,19,2080-01-03
2.44,20,2080-01-03
2.09,21,2080-01-03
1.61,22,2080-01-03
1.28,23,2080-01-03
1.08,24,2080-01-03
0.98,1,2080-01-04
0.93,2,2080-01-04
0.95,3,2080-01-04
0.92,4,2080-01-04
1.04,5,2080-01-04
1.43,6,2080-01-04
2.0,7,2080-01-04
2.17,8,2080-01-04
1.99,9,2080-01-04
2.09,10,2080-01-04
1.91,11,2080-01-04
1.79,12,2080-01-04
1.63,13,2080-01-04
1.78,14,2080-01-04
1.82,15,2080-01-04
2.0,16,2080-01-04
2.18,17,2080-01-04
2.24,18,2080-01-04
2.62,19,2080-01-04
2.53,20,2080-01-04
2.2,21,2080-01-04
1.65,22,2080-01-04
1.32,23,2080-01-04
1.12,24,2080-01-04
1.0,1,2080-01-05
0.97,2,2080-01-05
0.95,3,2080-01-05
0.96,4,2080-01-05
1.08,5,2080-01-05
1.43,6,2080-01-05
1.91,7,2080-01-05
2.13,8,2080-01-05
2.18,9,2080-01-05
2.36,10,2080-01-05
2.44,11,2080-01-05
2.41,12,2080-01-05
2.32,13,2080-01-05
2.29,14,2080-01-05
2.31,15,2080-01-05
2.22,16,2080-01-05
2.17,17,2080-01-05
2.24,18,2080-01-05
2.56,19,2080-01-05
2.44,20,2080-01-05
2.11,21,2080-01-05
1.58,22,2080-01-05
1.26,23,2080-01-05
1.03,24,2080-01-05
0.97,1,2080-01-06
0.93,2,2080-01-06
0.92,3,2080-01-06
0.92,4,2080-01-06
1.04,5,2080-01-06
1.39,6,2080-01-06
1.94,7,2080-01-06
2.12,8,2080-01-06
2.24,9,2080-01-06
2.32,10,2080-01-06
2.29,11,2080-01-06
2.15,12,2080-01-06
2.12,13,2080-01-06
2.0,14,2080-01-06
2.13,15,2080-01-06
2.1,16,2080-01-06
